Iter,Jacobi,GaussSeidel,SimpleIter
1,3.750000,4.479167,1.500000
2,1.770833,1.334635,1.000000
3,0.590278,0.333659,0.690000
4,0.258247,0.048659,0.547000
5,0.086082,0.007096,0.428250
6,0.037661,0.001035,0.336160
7,0.012554,0.000151,0.268625
8,0.005492,0.000022,0.213871
9,0.001831,0.000003,0.169720
10,0.000801,0.000000,0.134301
11,0.000267,,0.106018
12,0.000117,,0.083522
13,0.000039,,0.065689
14,0.000017,,0.051590
15,0.000006,,0.040471
16,0.000002,,0.031718
17,0.000001,,0.024839
18,,,0.019438
19,,,0.015204
20,,,0.011887
21,,,0.009290
22,,,0.007258
23,,,0.005670
24,,,0.004428
25,,,0.003457
26,,,0.002699
27,,,0.002107
28,,,0.001645
29,,,0.001284
30,,,0.001002
31,,,0.000782
32,,,0.000610
33,,,0.000476
34,,,0.000371
35,,,0.000290
36,,,0.000226
37,,,0.000176
38,,,0.000138
39,,,0.000107
40,,,0.000084
41,,,0.000065
42,,,0.000051
43,,,0.000040
44,,,0.000031
45,,,0.000024
46,,,0.000019
47,,,0.000015
48,,,0.000012
49,,,0.000009
50,,,0.000007
51,,,0.000005
52,,,0.000004
53,,,0.000003
54,,,0.000003
55,,,0.000002
56,,,0.000002
57,,,0.000001
58,,,0.000001
