Iter,MPI_error,Jacobi_error,GaussSeidel_error,Chebyshev_error
1,1011.980000,2529.950000,2578.765802,2311.512106
2,611.140080,1276.976250,1324.244049,2538.619907
3,409.509904,656.458729,702.217826,3924.562262
4,296.138411,637.838176,527.358148,21374.765641
5,226.296290,488.490088,398.602314,125222.880809
6,200.344743,398.088893,330.056524,826428.418677
7,178.918952,364.902260,283.104421,5754258.499924
8,160.181170,293.304217,244.010088,41673288.970968
9,144.062020,282.878920,218.194870,313667483.300731
10,130.245706,249.566489,197.927558,2462297025.035532
11,118.379885,226.586128,179.668403,19582974817.184383
12,108.143694,213.224696,165.134217,157394669224.967133
13,99.264671,186.315492,154.060507,1276105171203.107666
14,92.088651,183.833285,143.640189,10422668573238.863281
15,87.652844,166.902813,133.986497,85667017402412.843750
16,83.454221,160.054652,126.883232,707998576102574.000000
17,79.503066,150.550230,120.181044,5879581960240213.000000
18,75.797963,140.651284,113.794606,49036464918656688.000000
19,72.330721,136.130068,108.127600,410538219596867072.000000
20,69.089443,124.861966,103.450275,3450915760872574976.000000
21,66.060431,123.505800,98.913416,29445799909874253824.000000
22,63.229367,115.910408,94.546512,251707565357608665088.000000
23,60.582021,112.465460,90.773716,2155270172956345499648.000000
24,58.104670,107.623916,87.372876,18483888379903598395392.000000
25,55.784329,102.791685,84.059777,158755616602419992985600.000000
26,54.058399,100.025142,80.848526,1365434188184579634888704.000000
27,52.579685,94.286634,78.089060,11759353904126773925249024.000000
28,51.148087,93.089708,75.478102,101399359956816672682147840.000000
29,49.764387,88.518369,72.926384,875380156741382798825226240.000000
30,48.428652,86.772098,70.441552,7565557097523395338359013376.000000
31,47.140419,83.552216,68.290222,65455018446869125770931863552.000000
32,45.898839,81.019099,66.204622,566865169246716145077051195392.000000
33,44.702789,78.887906,64.161949,4913942160259225577230071496704.000000
34,43.550956,75.776663,62.166663,42635753072451432164561233379328.000000
35,42.441900,74.523674,60.413854,371287632818296288516922564149248.000000
36,41.374103,71.328514,58.698038,3245750067696568357781638872039424.000000
37,40.346008,70.449292,57.015201,28387766934711078296592468552974336.000000
38,39.356047,68.024860,55.368063,248401294913947608201328619352489984.000000
39,38.482458,66.649953,53.895111,2174592232863493275483501517223231488.000000
40,37.788066,64.873839,52.451621,19045749394571155295509723806263410688.000000
41,37.107255,63.108668,51.034664,166882004379226048809128005941176827904.000000
42,36.440347,61.878043,49.645938,1462874880392753579515238197193699491840.000000
43,35.787545,59.807724,48.380608,12828805043214397505212005671203038560256.000000
44,35.148946,59.036101,47.145174,112549039232254290946044867684205223477248.000000
45,34.524565,57.096859,45.931847,987800566204814642869180728610222814265344.000000
46,33.914345,56.344079,44.741698,8672894983787906204832410225698814589665280.000000
47,33.318176,54.822407,43.637278,76176639785610320378068870658030349303414784.000000
48,32.735898,53.796453,42.565656,669326679051892348185900618551020808543666176.000000
49,32.167319,52.636670,41.512940,5883135900839591630000837390432329258057596928.000000
50,31.612212,51.386762,40.479805,51728512609525477798783053746681855320933793792.000000
51,31.070331,50.540511,39.504489,454985480090999806371398326041825722652533194752.000000
52,30.541411,49.108069,38.565092,4003203920532799979600631759117415612634103808000.000000
53,30.025174,48.533336,37.642177,35271641101555242223989722780026883847578470842368.000000
54,29.597829,47.215474,36.736162,311545536746678589630006496881794959822140687253504.000000
55,29.208391,46.613526,35.867311,2752323494574395331013386925916855541329172065419264.000000
56,28.824162,45.546848,35.036870,24319730702416228539285951354212866866392578293497856.000000
57,28.445261,44.778756,34.221003,214930763422995413086491680542528600659904874357456896.000000
58,28.071778,43.934452,33.419956,1899844578154940120555287033605936754707069727942901760.000000
59,27.703778,43.026230,32.640817,16796404658766036153477725816519940366760092504590123008.000000
60,27.341306,42.378681,31.901718,148522550594258872273342940392374734981008550076373532672.000000
61,26.984387,41.352860,31.175638,1313546052797987258418190294141414009721592342824469135360.000000
62,26.633029,40.879288,30.462710,11619141499010594305317119168497554414235007619523212738560.000000
63,26.287226,39.912371,29.763026,102796324833510449680943125345536776577198520427138907111424.000000
64,25.946959,39.435542,29.099054,909609340671950781698760256893339900445602997740702235885568.000000
65,25.612200,38.630830,28.449356,8050168432848295671292155297523116139920559026332354878636032.000000
66,25.282908,38.046353,27.811433,71256864245796117616004659905399432183654138407989593629523968.000000
67,24.959038,37.387549,27.185314,630839791793946162926326440063812613282083342013572660647165952.000000
68,24.640536,36.710376,26.581451,5585744117460925107270287695955648146313724892174589205007040512.000000
69,24.339275,36.182734,25.997507,49466539764713664144067392669394200306480496008883914380924682240.000000
70,24.088016,35.426085,25.424175,438136591301068440800831228402035344718832896842756076071234306048.000000
71,23.839120,35.016266,24.861442,3881271138793230212738158439022071116747321941604510315588316299264.000000
72,23.592650,34.268316,24.310998,34387759525016062596570932991565960728115241779229596746364041035776.000000
73,23.348657,33.887772,23.784224,304718067618798041098495808917283027279361001938998544040849620074496.000000
74,23.107187,33.250043,23.267062,2700573200372692498189196443522985610815385860523109400851412563263488.000000
75,22.868276,32.796687,22.759471,23965720083009230210811834897185562753729316733234057732480849370152960.000000
76,22.631954,32.259342,22.261398,212876068973143916899876902840379354146611887331862365480321538439774208.000000
77,22.398243,31.742293,21.780173,1891045298936815701521102595551450817322921218643087768017219099291549696.000000
78,22.167161,31.296311,21.312264,16800245411033154910460567858316088227001541917964870376351129515161812992.000000
79,21.938719,30.723762,20.853033,149268362219241815945476681658563839825718402533375898006416940138357587968.000000
80,21.712924,30.360873,20.402416,1326350116314395012301734054693082780956803783754798719468796146606336376832.000000
81,21.489779,29.760444,19.960983,11786548902646187599362094122439064909576468328034073452227159044983063838720.000000
82,21.269283,29.452809,19.536564,104749750510527069211057944259467266334125645472201643486667687456110477836288.000000
83,21.051431,28.930203,19.120041,931015580989811099447942338947274677373919271510809899690153266540481515356160.000000
84,20.836215,28.571789,18.711340,8275576702515698187124020994382407069372106163805333815400815788729768439971840.000000
85,20.625874,28.120768,18.310381,73565923593346137345372955649842406094033867651269787838032755993205414798819328.000000
86,20.449413,27.717390,17.920341,654021379161017335808890756872897800392509296116832768986561987593991291253293056.000000
87,20.274210,27.332170,17.541754,5814919997160596853758771115582668423164041004089322106058644758562014669689585664.000000
88,20.100299,26.889120,17.170290,51704911044378306770772867744038665126300678186488971846733517609711943841103216640.000000
89,19.927708,26.564344,16.805868,459786058248558288058118235294469245723041973170672537296674375515023437115827421184.000000
90,19.756464,26.086429,16.448403,4088984328728917891638300544749195350289179522856407557645177587249294808447631491072.000000
91,19.586588,25.817140,16.102098,36367246982765667819206801572506098367684756849825279990103749814459123607226479017984.000000
92,19.418101,25.378820,15.763877,323474776121680037964234444037657949719165746887176660754294958765331817205424025763840.000000
93,19.251019,25.090338,15.432076,2877432271553143830881366114110634522091470457257540763602479808125279725740020578910208.000000
94,19.085356,24.704521,15.106611,25597890058906731467782593936244812873806723587045786324161328646994403772686870090088448.000000
95,18.921125,24.383663,14.787398,227738928434961739409328358390189375724228125950219391556779240215737495182471466326163456.000000
96,18.758335,24.046503,14.478735,2026301622758681305397912011001607260260933998350000833725162399414027876744722909098934272.000000
97,18.596995,23.696795,14.176180,18030355860118725681264621047457557761142385091207028988821902379047287046624327887128363008.000000
98,18.437109,23.404698,13.879407,160449201937264231085806541222132057276554421279950255052771618287552688675117978145626521600.000000
99,18.278683,23.029378,13.588335,1427918929083420226466461740430288404624317433829982173629760100020131434606352357097574760448.000000
100,18.121719,22.778989,13.303162,12712839713049691932014900898897020376617665848588566047842338321578720812565305547660881559552.000000
101,17.966219,22.405266,13.026919,113301683032071479641285536469502408016411999496974536009566393590186978833792501965736843935744.000000
102,17.821517,22.169214,12.755962,1009836364374665941066167525165446294719389203074654824574045747169668898765161059137898955145216.000000
103,17.689685,21.834884,12.490213,9000911473950543793631066376054786690505763121624233433884482880307167157249055116724221696278528.000000
104,17.558623,21.575176,12.229592,80231108022856571617070456960953724419161324247244458929611054227233107511705236890432602663550976.000000
105,17.428348,21.277603,11.974348,715187425263253762518995031138223867045784252587076513241050483792205965359993452786766262705324032.000000
106,17.298876,20.996649,11.726689,6375550443229940331127934858438441604015278374110544999085756046588525994328232528841915795888930816.000000
107,17.170221,20.733353,11.483794,56837659637589490531150811817920409672215530368731750894218052226786144955027728326832864296796422144.000000
108,17.042396,20.433382,11.245588,506728478493202120136713504558807478487677373574724678961564850687884452739783334421186167879074054144.000000
109,16.915413,20.202031,11.011995,4517883174270317352571553375466913579739812833062752902003608766710083811941250458782173371610337116160.000000
110,16.789282,19.885105,10.783052,40282384046862716044202969848378238209604928869965670158856451767746520574995388930691566558220673613824.000000
111,16.664012,19.683506,10.560836,359182973192847964845298034192771709994816062684355139805758381306361542965325463983671291629492483653632.000000
112,16.539612,19.391151,10.342913,3202850285470025457016879205515859845259807661243242888233465029164087205022310917172226459743119827009536.000000
113,16.416089,19.177628,10.129211,28561286673279639129214307101270814924838098499854484463269625209358073035158017374092125694135387880947712.000000
114,16.293448,18.913540,9.919661,254705918663901178093194983187523567777491133642858374828541239129292972467880673767092274399445210892337152.000000
115,16.171696,18.684223,9.714195,2271539776409865240190441210437968840427245951377639156715773941481468196484317928899045262512228227541368832.000000
116,16.050837,18.446649,9.514426,20259167443353994138814004531043163423275922378402684179718491636517208882403880460328670894176141486315274240.000000
117,15.930874,18.203104,9.318763,180693560338235398513418665409540165287947813517719383217654564857336672915168340190371065269050538545471553536.000000
118,15.811811,17.990386,9.126902,1611697311258648373297011391498095829624810931856895274507798479585282108676894342037161545383120537932183633920.000000
119,15.699472,17.734068,8.938778,14376193220767866667810933380510748447396165724162561085922853010600088187852254913840082101567119230999482859520.000000
120,15.595886,17.544638,8.754328,128240091949495204870423451644401948632442693482669099277721505054248647507140837339363753210387720971356737634304.000000
121,15.492816,17.287299,8.574425,1143992359290140029748047727854213451649219652179130835795245836557679977902701162272191684495468050531996443607040.000000
122,15.390272,17.109281,8.398636,10205674014924814292143852497270164214919087527133622025250374958540922368870287569772491266376520741593275867070464.000000
123,15.288263,16.874014,8.226271,91049885860804579153832735036701366161718684265141483149423745356105238117364825317847747685749266669279166838341632.000000
124,15.186799,16.684176,8.057271,812336827718743746318777706307172620973297893597350584999812162842939411745931721139455207204708861293774769536106496.000000
